serial,folder,sold_type,engine_primary,engine_next,skip_reason,i_duty,um,ust,steps,connection,phases,verdict
"E-W260007","WL","WSLIV-800Y/170-6x5B","WSLIV-800Y/170-6x5B","WSLIV-1000Y/170-6x5B","","592.81","170","0","2","Y","III","exact"
"E-W260008-009","WL","WDLIV-600/72.5-17x16E","","","Parameters out of catalogue range (current, Um, step voltage, or positions).","150","72.5","0","16","Y","III","miss"
"E-W260010","WL","WSLIV-800Y/72.5-6x5A","WSLIV-800Y/72.5-6x5A","WSLIV-1000Y/72.5-6x5A","","631.4","72.5","0","2","Y","III","exact"
"E-W260011","WL","WSLIV-1600Y/72.5-6x5","WSLIV-1200Y/72.5-6x5A","WSLIV-1600Y/72.5-6x5A","","994.5","72.5","0","2","Y","III","family"
"E-W260012","WL","WSLII-2000Y/72.5-6x5B","WSLIV-1600Y/72.5-6x5A","WSLIV-2000Y/72.5-6x5A","","1323","72.5","332","2","Y","II","family"
"E-W260013","WL","WSLII-2000Y/72.5-6x5B","WSLIV-600Y/72.5-6x5A","WSLIV-800Y/72.5-6x5A","","212","72.5","3320","2","Y","II","family"
"E-W260014-015","WL","WSLIV-800D/72.5-6x5A","WSLII-800D/72.5-6x5A","WSLII-1000D/72.5-6x5A","","637.9","72.5","550","2","D","III","family"
"E-W260016-017","WL","","","","no sold_type","","","","","","","skip"
"E-W260018","WL","","","","no sold_type","","","","","","","skip"
"E-W260019","WL","CMIII-600Y/72.5C-14271G","","","no transformer I","","72.5","","","Y","III","skip"
"E-W260020","WL","WSLII-800D/72.5-6x5A","","","no transformer I","","72.5","","","D","II","skip"
"E-W260021","WL","","","","no sold_type","303","","","","","","skip"
"E-W260022-023","WL","WDLIV-1200/72.5-9x8E","WSLIV-1000Y/72.5-18x17E","WSLIV-1200Y/72.5-18x17E","","1000","72.5","0","8","Y","III","miss"
"E-W260024-025","WL","","","","no sold_type","600","","","","","","skip"
"E-W260026-027","WL","","","","no sold_type","","","","","","","skip"
"E-W260028","WL","WSLIV-600D/72.5-6x5A","WSLII-600D/72.5-6x5A","WSLII-800D/72.5-6x5A","","255.2","72.5","550","2","D","III","family"
"E-W260029","WL","","","","no sold_type","","","","","","","skip"
"E-W260030-031","WL","WSLV-800D/126-6x5A","WSLII-800D/126-6x5B","WSLII-1000D/126-6x5B","","627.8","126","0","2","D","III","family"
"E-W260032,E-W260037","WL","","","","no sold_type","","","","","","","skip"
"E-W260033-034","WL","WSLII-800D/72.5-6x5A","","","no transformer I","","72.5","","","D","II","skip"
"E-W260035","WL","WSLII-600D/72.5-12x11C","WSLII-600D/72.5-12x11B","WSLII-800D/72.5-12x11B","","185","72.5","1675","5","D","II","family-i-um"
"E-W260036","WL","WSLIV-600D/72.5-6x5A","WSLII-600D/72.5-6x5A","WSLII-800D/72.5-6x5A","","255.2","72.5","550","2","D","III","family"
"E-W260038","WL","WSLIV-600Y/72.5-6x5A","WSLIV-600Y/72.5-6x5A","WSLIV-800Y/72.5-6x5A","","395","72.5","0","2","Y","III","exact"
"E-W260039","WL","WSLIV-1600D/72.5-7x6D","WSLII-1600D/72.5-18x17E","WSLII-2000D/72.5-18x17E","","1217.4","72.5","0","7","D","III","family"
"E-W260040","WL","WSLII-800D/72.5-6x5A","","","no transformer I","","72.5","","","D","II","skip"
"E-W260041-042","WL","WSLVIII-800D/72.5-5x2B","WSLII-1000D/72.5-6x5A","WSLII-1200D/72.5-6x5A","","794","72.5","0","","D","III","family"
"E-W260043-044","WL","WSLIV-600Y/72.5-6x5A","WSLIV-600Y/72.5-6x5A","WSLIV-800Y/72.5-6x5A","","395","72.5","0","2","Y","III","exact"
"E-W260045","WL","WSLIV-600D/126-6x5D","WSLII-600D/126-6x5B","WSLII-800D/126-6x5B","","289.4","126","0","2","D","III","family"
"E-W260046","WL","WSLIV-600Y/72.5-6x5A","WSLIV-600Y/72.5-6x5A","WSLIV-800Y/72.5-6x5A","","395","72.5","0","2","Y","III","exact"
