serial,folder,sold_type,engine_primary,engine_next,skip_reason,i_duty,um,ust,steps,connection,phases,verdict
"E-CM2260146-148","VCM","CM2III-500Y/170B-14273G","","","no transformer I","","170","","","Y","III","skip"
"E-CM2260149-150","VCM","CM2III-500Y/170D-12233W","","","no transformer I","","170","","","Y","III","skip"
"E-CM2260151","VCM","3xCM2I-1500/72.5C-16160","CM2I-1500/72.5B-16160","SHZVI-1500/72.5B-16160 | SHZVI-1600/72.5B-16160 | SHZVGI-3000/72.5B-16160","","1429","72.5","1832","","Y","I","family-i-um"
"E-CM2260152","VCM","CM2III-600Y/72.5B-10191W","CV2III-600Y/72.5-10191W","CM2III-600Y/72.5B-10191W | SHZVIII-600Y/72.5B-10191W | SHZVIII-1000Y/72.5B-10191W","","530","72.5","1181","9","Y","III","eligible"
"E-CM2260153","VCM","","","","no sold_type","","","","","","","skip"
"E-CM2260154","VCM","CM2III-500Y/126C-10193W","","","no transformer I","","126","","","Y","III","skip"
"E-CM2260155-157","VCM","CM2I-600Y/170C-12233W","CM2I-800/170D-12233W","CM2I-1200/170D-12233W | SHZVI-1000/170D-12233W | SHZVI-1200/170D-12233W","","591.4","170","1985","10","Y","I","family"
"E-CM2260158","VCM","CM2III-500Y/126C-10193W","","","no transformer I","","126","","","Y","III","skip"
"E-CM2260159","VCM","CM2III-500Y/170C-12233G","CM2III-500Y/170D-12233G","CM2III-600Y/170D-12233G | SHZVIII-400Y/170D-12233G | SHZVIII-600Y/170D-12233G","","271.7","170","1299","10","Y","III","family-i-um"
"E-CM2260160-164","VCM","CM2III-500Y/170C-14273W","","","no transformer I","","170","","","Y","III","skip"
"E-CM2260165-167","VCM","CM2III-500Y/170C-14273W","","","no transformer I","","170","","","Y","III","skip"
"E-CM2260168","VCM","CM2III-500Y/72.5C-18353W","CM2III-500Y/72.5B-18353W","CM2III-600Y/72.5B-18353W | SHZVIII-400Y/72.5B-18353W | SHZVIII-600Y/72.5B-18353W","","238.47","72.5","1437.5","16","Y","III","family-i-um"
"E-CM2260169","VCM","","","","no sold_type","","","","","","","skip"
"E-CM2260170","VCM","CM2III-500Y/72.5B-18353W","","","no transformer I","","72.5","","","Y","III","skip"
"E-CM2260171-180","VCM","CM2III-600Y/72.5C-14273G","CM2III-500Y/72.5B-14273G","CM2III-600Y/72.5B-14273G | SHZVIII-400Y/72.5B-14273G | SHZVIII-600Y/72.5B-14273G","","374.9","72.5","1111.4","12","Y","III","family"
"E-CM2260181","VCM","CM2III-300Y/170B-10191W","CM2III-500Y/170D-10191W","CM2III-600Y/170D-10191W | SHZVIII-400Y/170D-10191W | SHZVIII-600Y/170D-10191W","","109.3","170","1995","9","Y","III","family"
"E-CM2260182","VCM","","","","no sold_type","","","","","","","skip"
"E-CM2260183","VCM","CM2III-500Y/126D-14271G","","","no transformer I","","126","","","Y","III","skip"
"E-CM2260184-203","VCM","CM2III-600Y/72.5C-14273G","CM2III-500Y/72.5B-14273G","CM2III-600Y/72.5B-14273G | SHZVIII-400Y/72.5B-14273G | SHZVIII-600Y/72.5B-14273G","","374.9","72.5","1111.4","12","Y","III","family"
"E-CM2260204","VCM","CM2III-500Y/72.5B-10191W","CV2III-600Y/72.5-10191W","CM2III-500Y/72.5B-10191W | CM2III-600Y/72.5B-10191W | SHZVIII-600Y/72.5B-10191W","","424.2","72.5","1182","9","Y","III","eligible"
"E-CM2260205","VCM","","","","no sold_type","","","","","","","skip"
"E-CM2260206","VCM","","","","no sold_type","257.3","","476.3","","","","skip"
"E-CM2260207","VCM","CM2III-600Y/170B-12233W","CM2III-600Y/170D-12233W","SHZVIII-600Y/170D-12233W | SHZVIII-1000Y/170D-12233W | SHZVGIII-1300Y/170D-12233W","","505.9","170","1082","10","Y","III","family-i-um"
"E-CM2260208","VCM","","","","no sold_type","","","","","","","skip"
"E-CM2260209","VCM","","","","no sold_type","","","","","","","skip"
"E-CM2260210-213","VCM","CM2I-1500/170D-22433W","","","Parameters out of catalogue range (current, Um, step voltage, or positions).","1030","170","0","20","Y","I","miss"
"E-CM2260214-219","VCM","CM2III-500Y/72.5B-10181W","CV2III-350Y/72.5-10191W","CV2III-600Y/72.5-10191W | CM2III-500Y/72.5B-10191W | CM2III-600Y/72.5B-10191W","","294.34","72.5","1299.04","9","Y","III","eligible"
"E-CM2260220-222","VCM","CM2III-500Y/72.5B-14273G","","","no transformer I","","72.5","","","Y","III","skip"
"E-CM2260223","VCM","","","","no sold_type","131","","915","","","","skip"
"E-CM2260224-225","VCM","CM2III-600Y/72.5B-10193W","","","no transformer I","","72.5","","","Y","III","skip"
"E-CM2260226-227","VCM","3xCM2I-1500/170B-14131W","CM2I-1500/170D-14131W","SHZVI-1500/170D-14131W | SHZVI-1600/170D-14131W | SHZVGI-3000/170D-14131W","","1356","170","1346","6","Y","I","family-i-um"
"E-CM2260228","VCM","CM2III-500Y/72.5B-14273G","","","no transformer I","","72.5","","","Y","III","skip"
"E-CM2260229","VCM","CM2III-600Y/72.5B-12231G","CV2III-350Y/72.5-12231G","CV2III-600Y/72.5-12231G | CM2III-500Y/72.5B-12231G | CM2III-600Y/72.5B-12231G","","349.91","72.5","571.58","11","Y","III","eligible"
"E-CM2260230","VCM","CM2III-500Y/170B-12233W","CM2III-500Y/170D-12233W","CM2III-600Y/170D-12233W | SHZVIII-400Y/170D-12233W | SHZVIII-600Y/170D-12233W","","181.1","170","1875","10","Y","III","family-i-um"
"E-CM2260231-232","VCM","CM2III-500Y/72.5B-14273W","CM2III-500Y/72.5B-14273W","CM2III-600Y/72.5B-14273W | SHZVIII-400Y/72.5B-14273W | SHZVIII-600Y/72.5B-14273W","","104.59","72.5","1328","12","Y","III","exact"
"E-CM2260233-236","VCM","CM2III-500Y/72.5B-10191W","CV2III-600Y/72.5-10191W","CM2III-500Y/72.5B-10191W | CM2III-600Y/72.5B-10191W | SHZVIII-600Y/72.5B-10191W","","424.2","72.5","0","9","Y","III","eligible"
"E-CM2260237","VCM","CM2III-500Y/170B-12233W","CM2III-500Y/170D-12233W","CM2III-600Y/170D-12233W | SHZVIII-600Y/170D-12233W | SHZVIII-1000Y/170D-12233W","","423.4","170","1082.5","10","Y","III","family-i-um"
"E-CM2260238","VCM","CM2III-300Y/170B-12233W","CM2III-500Y/170D-12233W","CM2III-600Y/170D-12233W | SHZVIII-400Y/170D-12233W | SHZVIII-600Y/170D-12233W","","144.3","170","952","10","Y","III","family"
"E-CM2260239","VCM","","","","no sold_type","","","","","","","skip"
"E-CM2260240-249","VCM","CM2III-600Y/72.5C-14273G","CM2III-500Y/72.5B-14273G","CM2III-600Y/72.5B-14273G | SHZVIII-400Y/72.5B-14273G | SHZVIII-600Y/72.5B-14273G","","234.3","72.5","1111.4","12","Y","III","family"
"E-CM2260250-256","VCM","CM2I-500D/72.5B-14273W","CM2I-500/72.5B-14273W","CM2I-600/72.5B-14273W | SHZVI-400/72.5B-14273W | SHZVI-600/72.5B-14273W","","176","72.5","929.6","12","D","I","exact"
"E-CM2260257","VCM","CM2III-600Y/72.5B-10193W","CV2III-600Y/72.5-10193W","CM2III-600Y/72.5B-10193W | SHZVIII-600Y/72.5B-10193W | SHZVIII-1000Y/72.5B-10193W","","520.6","72.5","249","8","Y","III","eligible"
"E-CM2260258","VCM","","","","no sold_type","227.5","","1875","","","","skip"
"E-CM2260259","VCM","CM2III-500Y/72.5C-10191G","CV2III-600Y/72.5-10191G","CM2III-500Y/72.5B-10191G | CM2III-600Y/72.5B-10191G | SHZVIII-600Y/72.5B-10191G","","418.38","72.5","1180.5","9","Y","III","eligible"
"E-CM2260260-261","VCM","CM2III-500Y/170C-10193W","CM2III-500Y/170D-10193W","CM2III-600Y/170D-10193W | SHZVIII-400Y/170D-10193W | SHZVIII-600Y/170D-10193W","","233.3","170","1587.7","8","Y","III","family-i-um"
"E-CM2260262","VCM","CM2III-500Y/126B-10191W","CV2III-350Y/126-10191W","CV2III-600Y/126-10191W | CM2III-500Y/126C-10191W | CM2III-600Y/126C-10191W","","316.29","126","1183","9","Y","III","eligible"
"E-CM2260263","VCM","","","","no sold_type","156.19","","414.97","16","","","skip"
"E-CM2260263","VCM","","","","no sold_type","156.19","","414.97","16","","","skip"
"E-CM2260264-265","VCM","CM2III-500Y/170B-12233W","CM2III-500Y/170D-12233W","CM2III-600Y/170D-12233W | SHZVIII-600Y/170D-12233W | SHZVIII-1000Y/170D-12233W","","483.9","170","1082.5","10","Y","III","family-i-um"
"E-CM2260266","VCM","","","","no sold_type","","","","","","","skip"
"E-CM2260267","VCM","3xCM2I-1500/72.5B-18180","","","no transformer I","","72.5","798","","","I","skip"
"E-CM2260268-270","VCM","CM2III-600Y/72.5B-12233W","CV2III-600Y/72.5-12233W","CM2III-500Y/72.5B-12233W | CM2III-600Y/72.5B-12233W | SHZVIII-400Y/72.5B-12233W","","376.5","72.5","1328","10","Y","III","eligible"
"E-CM2260271-272","VCM","CM2III-500Y/252D-16313G","CM2III-500Y/252D-16313G","CM2III-600Y/252D-16313G | SHZVIII-600Y/252D-16313G | SHZVIII-1000Y/252D-16313G","","403.5","252","917.9","14","Y","III","exact"
"E-CM2260273","VCM","3xCM2I-1200/170C-14131W","CM2I-1200/170D-14131W","CM2I-1500/170D-14131W | SHZVI-1200/170D-14131W | SHZVI-1500/170D-14131W","","1063","170","1328","6","Y","I","family-i-um"
"E-CM2260274-277","VCM","3xCM2I-1200/170C-14130","","","no transformer I","","170","","","","I","skip"
"E-CM2260278","VCM","3xCM2I-1200/170C-14130","","","no transformer I","","170","","","","I","skip"
"E-CM2260279","VCM","CM2III-500Y/72.5B-14271W","CM2III-500Y/72.5B-14271W","CM2III-600Y/72.5B-14271W | SHZVIII-400Y/72.5B-14271W | SHZVIII-600Y/72.5B-14271W","","65.61","72.5","381.05","13","Y","III","exact"
"E-CM2260280-281","VCM","CM2III-500Y/72.5C-14273W","CM2III-500Y/72.5B-14273W","CM2III-600Y/72.5B-14273W | SHZVIII-400Y/72.5B-14273W | SHZVIII-600Y/72.5B-14273W","","167","72.5","1328","12","Y","III","family-i-um"
"E-CM2260282-283","VCM","CM2III-500Y/72.5B-14273W","CM2III-500Y/72.5B-14273W","CM2III-600Y/72.5B-14273W | SHZVIII-400Y/72.5B-14273W | SHZVIII-600Y/72.5B-14273W","","167","72.5","1328","12","Y","III","exact"
"E-CM2260284","VCM","CM2III-500Y/170D-14273G","CM2III-500Y/170D-14273G","CM2III-600Y/170D-14273G | SHZVIII-400Y/170D-14273G | SHZVIII-600Y/170D-14273G","","313.78","170","1660","12","Y","III","exact"
"E-CM2260285","VCM","","","","no sold_type","","","","","","","skip"
"E-CV2260001-004","VCV","CV2III-350D/145-10193W","CV2III-350D/145-10193W","CV2III-600D/145-10193W | CM2III-500D/170D-10193W | CM2III-600D/170D-10193W","","64.26","145","1725","8","D","III","exact"
"E-CV2260005-006","VCV","CV2III-350D/145-10193W","CV2III-350D/145-10193W","CV2III-600D/145-10193W | CM2III-500D/170D-10193W | CM2III-600D/170D-10193W","","64.25","145","1725","8","D","III","exact"
"E-CV2260007","VCV","CV2III-350D/72.5-10193W","CV2III-350D/72.5-10193W","CV2III-600D/72.5-10193W | CM2III-500D/72.5B-10193W | CM2III-600D/72.5B-10193W","","128.5","72.5","862.5","8","D","III","exact"
"E-CV2260008-009","VCV","CV2III-350Y/72.5-10193W","CV2III-350Y/72.5-10193W","CV2III-600Y/72.5-10193W | CM2III-500Y/72.5B-10193W | CM2III-600Y/72.5B-10193W","","167.3","72.5","747","8","Y","III","exact"
"E-CV2260010-014","VCV","CV2III-350D/72.5-10193W","CV2III-350D/72.5-10193W","CV2III-600D/72.5-10193W | CM2III-500D/72.5B-10193W | CM2III-600D/72.5B-10193W","","96.6","72.5","862.5","8","D","III","exact"
"E-CV2260015","VCV","CV2III-350Y/72.5-10193W","CV2III-350Y/72.5-10193W","CV2III-600Y/72.5-10193W | CM2III-500Y/72.5B-10193W | CM2III-600Y/72.5B-10193W","","111.3","72.5","995.9","8","Y","III","exact"
"E-CV2260016","VCV","CV2III-350D/40.5-10193W","CV2III-350D/40.5-10193W","CV2III-600D/40.5-10193W | CM2III-500D/72.5B-10193W | CM2III-600D/72.5B-10193W","","120.8","40.5","431.25","8","D","III","exact"
"E-CV2260017","VCV","CV2III-600Y/40.5-10193W","CV2III-350Y/40.5-10193W","CV2III-600Y/40.5-10193W | CM2III-500Y/72.5B-10193W | CM2III-600Y/72.5B-10193W","","334.7","40.5","862.5","8","Y","III","family"
"E-CV2260018","VCV","CV2III-350D/145-10193W","CV2III-350D/145-10193W","CV2III-600D/145-10193W | CM2III-500D/170D-10193W | CM2III-600D/170D-10193W","","30.2","145","1725","8","D","III","exact"
"E-CV2260019","VCV","CV2III-350Y/72.5-10193W","CV2III-350Y/72.5-10193W","CV2III-600Y/72.5-10193W | CM2III-500Y/72.5B-10193W | CM2III-600Y/72.5B-10193W","","222.6","72.5","497.68","8","Y","III","exact"
"E-CV2260020","VCV","CV2III-350D/72.5-10193W","CV2III-350D/72.5-10193W","CV2III-600D/72.5-10193W | CM2III-500D/72.5B-10193W | CM2III-600D/72.5B-10193W","","181.5","72.5","1089","8","D","III","exact"
"E-CV2260021","VCV","CV2III-350Y/72.5-10193W","","","no transformer I","","72.5","","","Y","III","skip"
"E-CV2260022-023","VCV","CV2III-350D/40.5-12231W","CV2III-350D/40.5-12231W","CV2III-600D/40.5-12231W | CM2III-500D/72.5B-12231W | CM2III-600D/72.5B-12231W","","122","40.5","450","11","D","III","exact"
"E-CV2260024","VCV","CV2III-600D/145-10193W","CV2III-600D/145-10193W","CM2III-500D/170D-10193W | CM2III-600D/170D-10193W | SHZVIII-400D/170D-10193W","","342","145","1048","8","D","III","exact"
"E-CV2260025-029","VCV","CV2III-600Y/72.5-10191W","","","no transformer I","","72.5","","","Y","III","skip"
"E-CV2260030","VCV","CV2III-350Y/72.5-12233W","CV2III-350Y/72.5-12233W","CV2III-600Y/72.5-12233W | CM2III-500Y/72.5B-12233W | CM2III-600Y/72.5B-12233W","","104.6","72.5","797","10","Y","III","exact"
"E-CV2260031-037","VCV","CV2III-350D/145-10193W","","","no transformer I","","145","","","D","III","skip"
"E-CV2260038-039","VCV","CV2III-350D/72.5-10193W","","","no transformer I","","72.5","","","D","III","skip"
"E-CV2260040","VCV","CV2III-350Y/72.5-12231W","","","no transformer I","","72.5","","","Y","III","skip"
"E-CV2260041-043","VCV","CV2III-350D/72.5-10193W","","","no transformer I","","72.5","","","D","III","skip"
"E-CV2260044-045","VCV","CV2III-350D/145-10193W","","","no transformer I","","145","","","D","III","skip"
"E-CV2260046","VCV","CV2III-350D/145-10193W","","","no transformer I","","145","","","D","III","skip"
"E-CV2260047","VCV","CV2III-350Y/72.5-10193G","CV2III-350Y/72.5-10193G","CV2III-600Y/72.5-10193G | CM2III-500Y/72.5B-10193G | CM2III-600Y/72.5B-10193G","","256.6","72.5","0","8","Y","III","exact"
"E-CV2260048-049","VCV","CV2III-350Y/72.5-10193W","CV2III-350Y/72.5-10193W","CV2III-600Y/72.5-10193W | CM2III-500Y/72.5B-10193W | CM2III-600Y/72.5B-10193W","","222.57","72.5","498","8","Y","III","exact"
"E-CV2260050","VCV","CV2III-350Y/72.5-10193G","CV2III-350Y/72.5-10193G","CV2III-600Y/72.5-10193G | CM2III-500Y/72.5B-10193G | CM2III-600Y/72.5B-10193G","","128.3","72.5","0","8","Y","III","exact"
"E-CV2260051-052","VCV","CV2III-350Y/72.5-10193W","","","no transformer I","","72.5","","","Y","III","skip"
"E-CV2260053-054","VCV","CV2III-350Y/72.5-10191W","CV2III-350Y/72.5-10191W","CV2III-600Y/72.5-10191W | CM2III-500Y/72.5B-10191W | CM2III-600Y/72.5B-10191W","","212.1","72.5","1182","9","Y","III","exact"
"E-CV2260055-056","VCV","CV2III-600Y/72.5-10191W","","","no transformer I","","72.5","","","Y","III","skip"
"E-CV2260057","VCV","CV2III-600Y/72.5-1","","","no transformer I","","72.5","","","Y","III","skip"
"E-CV2260058","VCV","CV2III-350Y/72.5-12233W","CV2III-350Y/72.5-12233W","CV2III-600Y/72.5-12233W | CM2III-500Y/72.5B-12233W | CM2III-600Y/72.5B-12233W","","138","72.5","363.7","10","Y","III","exact"
"E-CV2260059-060","VCV","CV2III-600D/40.5-10193G","CV2III-600D/40.5-10193G","CM2III-500D/72.5B-10193G | CM2III-600D/72.5B-10193G | SHZVIII-600D/72.5B-10193G","","415.3","40.5","412.5","8","D","III","exact"
"E-CV2260061","VCV","CV2III-350Y/72.5-10191W","","","no transformer I","","72.5","","","Y","III","skip"
"E-CV2260062-064","VCV","CV2III-350Y/126-10193W","","","no transformer I","","126","","","Y","III","skip"
"E-CV2260065-066","VCV","CV2III-350D/145-10193W","CV2III-350D/145-10193W","CV2III-600D/145-10193W | CM2III-500D/170D-10193W | CM2III-600D/170D-10193W","","30.2","145","1725","8","D","III","exact"
"E-CV2260067","VCV","CV2III-350Y/72.5-10193W","CV2III-350Y/72.5-10193W","CV2III-600Y/72.5-10193W | CM2III-500Y/72.5B-10193W | CM2III-600Y/72.5B-10193W","","209.18","72.5","996","8","Y","III","exact"
"E-CV2260068-069","VCV","CV2III-350D/145-10193W","CV2III-350D/145-10193W","CV2III-600D/145-10193W | CM2III-500D/170D-10193W | CM2III-600D/170D-10193W","","96.6","145","1725","8","D","III","exact"
"E-CV2260070-071","VCV","","","","no sold_type","","","","","","","skip"
"E-CV2260072","VCV","CV2III-600D/40.5-10193W","CV2III-600D/40.5-10193W","CM2III-600D/72.5B-10193W | SHZVIII-600D/72.5B-10193W | SHZVIII-1000D/72.5B-10193W","","563","40.5","236.3","8","D","III","exact"
"E-CV2260073","VCV","CV2III-350D/145-10193W","CV2III-350D/145-10193W","CV2III-600D/145-10193W | CM2III-500D/170D-10193W | CM2III-600D/170D-10193W","","48.3","145","1725","8","D","III","exact"
"E-CV2260074","VCV","CV2III-350D/72.5-10193W","CV2III-350D/72.5-10193W","CV2III-600D/72.5-10193W | CM2III-500D/72.5B-10193W | CM2III-600D/72.5B-10193W","","60.37","72.5","862.5","8","D","III","exact"
"E-CV2260075-076","VCV","CV2III-350D/72.5-10193W","CV2III-350D/72.5-10193W","CV2III-600D/72.5-10193W | CM2III-500D/72.5B-10193W | CM2III-600D/72.5B-10193W","","60.37","72.5","862.5","8","D","III","exact"
"E-CV2260077","VCV","CV2III-350Y/40.5-10193W","CV2III-350Y/40.5-10193W","CV2III-600Y/40.5-10193W | CM2III-500Y/72.5B-10193W | CM2III-600Y/72.5B-10193W","","278.9","40.5","862.5","8","Y","III","exact"
"E-CV2260078","VCV","CV2III-350D/40.5-10070","CV2III-350D/40.5-10070","CV2III-600D/40.5-10070 | CM2III-500D/72.5B-10070 | CM2III-600D/72.5B-10070","","215","40.5","911.1","","D","III","exact"
"E-CV2260079-082","VCV","CV2III-350D/40.5-10193G","CV2III-350D/40.5-10193G","CV2III-600D/40.5-10193G | CM2III-500D/72.5B-10193G | CM2III-600D/72.5B-10193G","","75.8","40.5","551","8","D","III","exact"
"E-CV2260083-085","VCV","CV2III-350D/72.5-10193W","","","no transformer I","","72.5","","","D","III","skip"
"E-CV2260086-087","VCV","CV2III-350Y/40.5-10193W","CV2III-350Y/40.5-10193W","CV2III-600Y/40.5-10193W | CM2III-500Y/72.5B-10193W | CM2III-600Y/72.5B-10193W","","209.18","40.5","431.25","8","Y","III","exact"
"E-CV2260088","VCV","","","","no sold_type","238","","825","","","","skip"
"E-CV2260089-095","VCV","","","","no sold_type","","","1958","9","","","skip"
"E-CV2260096-098","VCV","CV2III-600D/40.5-10193G","CV2III-600D/40.5-10193G","CM2III-500D/72.5B-10193G | CM2III-600D/72.5B-10193G | SHZVIII-400D/72.5B-10193G","","356","40.5","410","8","D","III","exact"
"E-CV2260099","VCV","CV2III-350D/145-10193W","CV2III-350D/145-10193W","CV2III-600D/145-10193W | CM2III-500D/170D-10193W | CM2III-600D/170D-10193W","","80.5","145","1725","8","D","III","exact"
"E-CV2260100","VCV","CV2III-350Y/72.5-10191W","CV2III-350Y/72.5-10191W","CV2III-600Y/72.5-10191W | CM2III-500Y/72.5B-10191W | CM2III-600Y/72.5B-10191W","","212","72.5","1184","9","Y","III","exact"
"E-CV2260101-103","VCV","CV2III-600D/40.5-10193G","CV2III-600D/40.5-10193G","CM2III-500D/72.5B-10193G | CM2III-600D/72.5B-10193G | SHZVIII-600D/72.5B-10193G","","442.8","40.5","412.5","8","D","III","exact"
"E-CV2260104","VCV","CV2III-350Y/72.5-10191W","CV2III-350Y/72.5-10191W","CV2III-600Y/72.5-10191W | CM2III-500Y/72.5B-10191W | CM2III-600Y/72.5B-10191W","","334","72.5","1184","9","Y","III","exact"
"E-CV2260105-106","VCV","CV2III-350D/145-12231W","CV2III-350D/145-12231W","CV2III-600D/145-12231W | CM2III-500D/170D-12231W | CM2III-600D/170D-12231W","","88.2","145","763.6","11","D","III","exact"
"E-CV2260105-106","VCV","CV2III-350D/145-12231W","CV2III-350D/145-12231W","CV2III-600D/145-12231W | CM2III-500D/170D-12231W | CM2III-600D/170D-12231W","","88.2","145","763.5","11","D","III","exact"
"E-CV2260107","VCV","CV2III-350D/72.5-10193W","CV2III-350D/72.5-10193W","CV2III-600D/72.5-10193W | CM2III-500D/72.5B-10193W | CM2III-600D/72.5B-10193W","","142.3","72.5","862.5","8","D","III","exact"
"E-CV2260108","VCV","CV2III-350D/145-10193W","CV2III-350D/145-10193W","CV2III-600D/145-10193W | CM2III-500D/170D-10193W | CM2III-600D/170D-10193W","","40.3","145","0","8","D","III","exact"
"E-CV2260109","VCV","CV2III-350D/145-10193W","CV2III-350D/145-10193W","CV2III-600D/145-10193W | CM2III-500D/170D-10193W | CM2III-600D/170D-10193W","","80.5","145","1725","8","D","III","exact"
"E-CV2260110","VCV","CVIII-350Y/72.5-10193W","CV2III-350Y/72.5-10193W","CV2III-600Y/72.5-10193W | CVIII-350Y/72.5-10193W | SVIII-500Y/72.5-10193W","","213.8","72.5","0","8","Y","III","eligible"
"E-CV2260111","VCV","CV2III-350Y/72.5-10191W","CV2III-350Y/72.5-10191W","CV2III-600Y/72.5-10191W | CM2III-500Y/72.5B-10191W | CM2III-600Y/72.5B-10191W","","212","72.5","1182","9","Y","III","exact"
"E-CV2260112","VCV","CV2III-600D/126-10193W","CV2III-600D/126-10193W","CM2III-500D/126C-10193W | CM2III-600D/126C-10193W | SHZVIII-400D/126C-10193W","","348.6","126","497.96","8","D","III","exact"
"E-CV2260113-114","VCV","CV2III-350D/72.5-10193W","CV2III-350D/72.5-10193W","CV2III-600D/72.5-10193W | CM2III-500D/72.5B-10193W | CM2III-600D/72.5B-10193W","","96.6","72.5","862.5","8","D","III","exact"
"E-CV2260115","VCV","CV2III-350D/72.5-10193W","CV2III-350D/72.5-10193W","CV2III-600D/72.5-10193W | CM2III-500D/72.5B-10193W | CM2III-600D/72.5B-10193W","","90.9","72.5","550","8","D","III","exact"
"E-CV2260116-117","VCV","CV2III-350D/145-12233W","CM2III-500D/170D-12233W","CM2III-600D/170D-12233W | SHZVIII-400D/170D-12233W | SHZVIII-600D/170D-12233W","","96.6","145","1725","10","D","III","miss"
"E-CV2260118-119","VCV","CV2III-600D/40.5-10193W","CV2III-600D/40.5-10193W","CM2III-600D/72.5B-10193W | SHZVIII-600D/72.5B-10193W | SHZVIII-1000D/72.5B-10193W","","563","40.5","236.3","8","D","III","exact"
"E-CV2260120","VCV","CV2III-350Y/72.5-10193W","CV2III-350Y/72.5-10193W","CV2III-600Y/72.5-10193W | CM2III-500Y/72.5B-10193W | CM2III-600Y/72.5B-10193W","","167.3","72.5","996","8","Y","III","exact"
"E-CV2260121","VCV","CV2III-350D/145-10193W","CV2III-350D/145-10193W","CV2III-600D/145-10193W | CM2III-500D/170D-10193W | CM2III-600D/170D-10193W","","30.2","145","1725","8","D","III","exact"
"E-CV2260122","VCV","CV2III-350Y/72.5-10193W","CV2III-350Y/72.5-10193W","CV2III-600Y/72.5-10193W | CM2III-500Y/72.5B-10193W | CM2III-600Y/72.5B-10193W","","220.2","72.5","995.9","8","Y","III","exact"
"E-CV2260123-124","VCV","CV2III-350D/145-10193W","CV2III-350D/145-10193W","CV2III-600D/145-10193W | CM2III-500D/170D-10193W | CM2III-600D/170D-10193W","","80.44","145","1725","8","D","III","exact"
"E-CV2260125","VCV","CV2III-350D/145-10193W","CV2III-350D/145-10193W","CV2III-600D/145-10193W | CM2III-500D/170D-10193W | CM2III-600D/170D-10193W","","56.81","145","1725","8","D","III","exact"
"E-CV2260126","VCV","CV2III-350Y/40.5-10193W","CV2III-350Y/40.5-10193W","CV2III-600Y/40.5-10193W | CM2III-500Y/72.5B-10193W | CM2III-600Y/72.5B-10193W","","125.5","40.5","497.96","8","Y","III","exact"
"E-CV2260127-129","VCV","CV2III-600Y/72.5-10191W","CV2III-600Y/72.5-10191W","CM2III-500Y/72.5B-10191W | CM2III-600Y/72.5B-10191W | SHZVIII-400Y/72.5B-10191W","","352.2","72.5","1242.1","9","Y","III","exact"
"E-CV2260130","VCV","CV2III-350D/145-10193W","CV2III-350D/145-10193W","CV2III-600D/145-10193W | CM2III-500D/170D-10193W | CM2III-600D/170D-10193W","","47.1","145","1725","8","D","III","exact"
"E-CV2260131-132","VCV","","","","no sold_type","","","","","","","skip"
"E-CV2260133","VCV","CV2III-350Y/72.5-10193W","CV2III-350Y/72.5-10193W","CV2III-600Y/72.5-10193W | CM2III-500Y/72.5B-10193W | CM2III-600Y/72.5B-10193W","","209.2","72.5","996","8","Y","III","exact"
"E-CV2260134-135","VCV","","","","no sold_type","","","","","","","skip"
"E-CV2260136","VCV","CV2III-350Y/72.5-10193W","CV2III-350Y/72.5-10193W","CV2III-600Y/72.5-10193W | CM2III-500Y/72.5B-10193W | CM2III-600Y/72.5B-10193W","","209.2","72.5","996","8","Y","III","exact"
"E-CV2260137","VCV","CV2III-350Y/40.5-10193W","CV2III-350Y/40.5-10193W","CV2III-600Y/40.5-10193W | CM2III-500Y/72.5B-10193W | CM2III-600Y/72.5B-10193W","","104.6","40.5","431.25","8","Y","III","exact"
"E-CV2260139-145","VCV","CV2III-600Y/72.5-12233G","CV2III-600Y/72.5-12233G","CM2III-500Y/72.5B-12233G | CM2III-600Y/72.5B-12233G | SHZVIII-400Y/72.5B-12233G","","367","72.5","545","10","Y","III","exact"
"E-CV2260146-147","VCV","CV2III-350Y/72.5-10191W","CV2III-350Y/72.5-10191W","CV2III-600Y/72.5-10191W | CM2III-500Y/72.5B-10191W | CM2III-600Y/72.5B-10191W","","334.1","72.5","1182","9","Y","III","exact"
"E-CV2260148","VCV","CV2III-350D/145-10193W","CV2III-350D/145-10193W","CV2III-600D/145-10193W | CM2III-500D/170D-10193W | CM2III-600D/170D-10193W","","56.8","145","1725","8","D","III","exact"
"E-CV2260149-150","VCV","CV2III-350D/145-10193W","CV2III-350D/145-10193W","CV2III-600D/145-10193W | CM2III-500D/170D-10193W | CM2III-600D/170D-10193W","","113.68","145","1725","8","D","III","exact"
"E-CV2260151","VCV","CV2III-350D/72.5-10193W","CV2III-350D/72.5-10193W","CV2III-600D/72.5-10193W | CM2III-500D/72.5B-10193W | CM2III-600D/72.5B-10193W","","71.01","72.5","862.5","8","D","III","exact"
"E-CV2260152-155","VCV","CV2III-350D/72.5-10193W","CV2III-350D/72.5-10193W","CV2III-600D/72.5-10193W | CM2III-500D/72.5B-10193W | CM2III-600D/72.5B-10193W","","71.01","72.5","862.5","8","D","III","exact"
"E-CV2260156","VCV","CV2III-350D/72.5-10193W","CV2III-350D/72.5-10193W","CV2III-600D/72.5-10193W | CM2III-500D/72.5B-10193W | CM2III-600D/72.5B-10193W","","71.01","72.5","862.5","8","D","III","exact"
